item_id,item_name,category,price,cost,is_available,description,introduced_date,discontinued_date
1,House Latte,Coffee,5.5,1.2,True,Espresso with steamed milk,2022-06-01,
2,Cappuccino,Coffee,5.0,1.1,True,"Equal parts espresso, steamed milk, foam",2022-06-01,
3,Americano,Coffee,4.5,0.9,True,Espresso with hot water,2022-06-01,
4,Cold Brew,Coffee,5.5,1.0,True,"24-hour steeped, smooth and bold",2022-06-01,
5,Mocha,Coffee,6.0,1.5,True,"Espresso, chocolate, steamed milk",2022-06-01,
6,Espresso,Coffee,3.5,0.7,True,Double shot of our house blend,2022-06-01,
7,Catnip Latte,Coffee,6.5,1.8,True,Specialty latte with catnip honey (for humans!),2023-03-01,
8,Matcha Latte,Tea,6.0,1.6,True,Ceremonial grade matcha with oat milk,2022-06-01,
9,Earl Grey,Tea,4.0,0.5,True,Classic bergamot black tea,2022-06-01,
10,Chamomile,Tea,4.0,0.45,True,"Caffeine-free, calming herbal blend",2022-06-01,
11,Chai Latte,Tea,5.5,1.2,True,Spiced black tea with steamed milk,2022-06-01,
12,Blueberry Muffin,Pastry,4.0,1.0,True,Fresh-baked daily,2022-06-01,
13,Butter Croissant,Pastry,3.5,0.9,True,Flaky French-style,2022-06-01,
14,Chocolate Chip Cookie,Pastry,3.0,0.6,True,Warm from the oven,2022-06-01,
15,Cat Paw Cookie,Pastry,4.5,1.2,True,Paw-shaped shortbread with icing,2022-09-15,
16,Avocado Toast,Sandwich,9.5,3.0,True,"Sourdough, avocado, everything seasoning",2022-06-01,
17,Grilled Cheese,Sandwich,8.0,2.2,True,Three cheeses on sourdough,2022-06-01,
18,Caprese Panini,Sandwich,10.0,3.5,True,"Fresh mozzarella, tomato, basil",2023-01-15,
19,Cat Face Cake Slice,Dessert,7.0,2.0,True,Vanilla cake decorated like a cat face,2022-06-01,
20,Ice Cream Sundae,Dessert,8.0,2.5,True,Two scoops with toppings,2023-06-01,
21,Cat Cafe T-Shirt,Merchandise,25.0,8.0,True,Whiskers & Waffles logo tee,2022-06-01,
22,Catnip Toy,Merchandise,8.0,2.5,True,Handmade felt mouse with organic catnip,2022-06-01,
23,Coffee Mug,Merchandise,15.0,4.0,True,Ceramic mug with cafe logo,2022-06-01,
24,Tote Bag,Merchandise,18.0,5.0,True,Canvas tote with cat illustrations,2023-04-01,
25,Cat Calendar,Merchandise,20.0,6.0,True,Annual calendar featuring our cats,2024-01-01,
