cat_id,name,breed_id,color,birth_date,arrival_date,adoption_date,status,shelter_id,personality_notes,medical_notes,is_featured,temperament_score,weight_lbs,senior_designation,socialization_program
19,Tilly,9,White,2015-11-11,2022-08-01,,available,2,Very playful and energetic. Great with interactive toys.,,False,6.5,12.6,False,False
20,Goose,8,Smoke gray,2021-01-15,2022-11-12,,available,3,Quiet observer. Watches everything from a cozy perch.,,False,7.9,5.9,False,False
21,Marley,9,Silver tabby,2018-10-15,2024-05-31,,available,4,Vocal and social. Will follow visitors around the lounge.,,False,7.4,10.9,False,False
22,Basil,6,Lilac point,2016-08-24,2023-03-11,2023-06-21,adopted,2,High energy kitten. Needs lots of play and stimulation.,,False,4.2,19.0,False,False
23,Brownie,2,Seal mitted,2015-04-20,2023-01-22,,available,3,Vocal and social. Will follow visitors around the lounge.,,True,7.5,9.3,True,False
24,Archie,8,Blue (gray),2018-04-04,2023-08-14,2023-11-21,adopted,1,Extremely affectionate. Seeks out human contact constantly.,,False,7.2,11.0,False,False
25,Echo,7,Gray folded ears,2022-02-14,2023-05-30,2023-08-09,adopted,3,Friendly and outgoing. Loves meeting new people.,,False,6.3,12.9,False,False
26,Snickers,3,Lilac point,2018-02-05,2023-12-26,2024-01-27,adopted,3,Independent but affectionate when ready. Respects boundaries.,,False,5.8,12.5,False,False
27,Wren,7,Mackerel tabby,2015-11-16,2023-09-20,2023-12-27,adopted,4,Adventurous spirit. Loves new experiences and visitors.,,True,5.3,13.7,True,False
28,Toast,3,Blue bicolor,2020-02-22,2024-07-25,,available,2,Snuggly and warm. Perfect companion for cold days.,,False,6.3,8.0,False,False
29,Gracie,3,Seal mitted,2019-07-08,2023-02-10,,available,1,Active and athletic. Loves climbing and jumping.,,False,5.2,6.4,False,False
30,Iris,9,Black,2020-06-26,2024-04-15,,available,2,Patient and easygoing. Great with children and first-time visitors.,,False,7.2,11.3,False,False
31,Bean,10,Lilac point,2017-08-13,2023-08-13,2023-11-21,adopted,5,Calm and gentle. Perfect lap cat for relaxed visits.,,False,4.9,9.5,False,False
32,Bear,2,Red tabby,2022-08-23,2023-04-30,2023-06-01,adopted,3,Adventurous spirit. Loves new experiences and visitors.,,False,9.5,10.9,False,False
33,Sage,3,Seal mitted,2022-03-18,2022-10-28,2023-01-18,adopted,1,Extremely affectionate. Seeks out human contact constantly.,,False,5.2,10.5,False,False
34,Sprout,6,Black,2016-08-18,2023-06-18,,available,3,Vocal and social. Will follow visitors around the lounge.,,False,7.8,10.7,False,False
35,Cocoa,2,Ruddy,2016-05-19,2023-10-19,2023-12-06,adopted,5,Very playful and energetic. Great with interactive toys.,,True,2.7,7.7,True,True
36,Bagel,1,Lilac point,2016-01-04,2023-11-10,2023-12-20,adopted,4,Quiet observer. Watches everything from a cozy perch.,,True,7.4,14.3,True,False
37,Tulip,1,Silver tabby,2015-11-04,2023-02-09,2023-04-14,adopted,2,Initially shy but warms up quickly. Prefers quiet visitors.,,True,7.6,15.0,True,False
